datetime,ward,bed_type,total_beds,staffed_beds,occupied_beds,closed_beds,hospital
10/1/2024,Surgery,General,39,39,35,0,hos_d33ca5af
18/1/2024,Surgery,General,39,39,35,0,hos_d33ca5af
25/1/2024,Surgery,General,39,39,35,0,hos_d33ca5af
1/2/2024,Surgery,General,39,39,35,0,hos_d33ca5af
13/2/2024,Surgery,General,39,39,35,0,hos_d33ca5af
1/3/2024,Surgery,General,39,39,35,0,hos_d33ca5af
18/3/2024,Surgery,General,39,39,35,0,hos_d33ca5af
28/3/2024,Surgery,General,39,39,35,0,hos_d33ca5af
2/4/2024,Surgery,General,39,39,35,0,hos_d33ca5af
8/4/2024,Surgery,General,39,39,35,0,hos_d33ca5af
24/4/2024,Surgery,General,39,39,35,0,hos_d33ca5af
8/5/2024,Surgery,General,39,39,35,0,hos_d33ca5af
13/5/2024,Surgery,General,39,39,35,0,hos_d33ca5af
14/5/2024,Surgery,General,39,39,35,0,hos_d33ca5af
15/5/2024,Surgery,General,39,39,35,0,hos_d33ca5af
27/5/2024,Surgery,General,39,39,35,0,hos_d33ca5af
28/5/2024,Surgery,General,39,39,35,0,hos_d33ca5af
10/6/2024,Surgery,General,39,39,35,0,hos_d33ca5af
21/6/2024,Surgery,General,39,39,35,0,hos_d33ca5af
1/7/2024,Surgery,General,39,39,35,0,hos_d33ca5af
19/7/2024,Surgery,General,39,39,35,0,hos_d33ca5af
23/7/2024,Surgery,General,39,39,35,0,hos_d33ca5af
25/7/2024,Surgery,General,39,39,35,0,hos_d33ca5af
21/8/2024,Surgery,General,39,39,35,0,hos_d33ca5af
5/9/2024,Surgery,General,39,39,35,0,hos_d33ca5af
9/9/2024,Surgery,General,39,39,35,0,hos_d33ca5af
16/9/2024,Surgery,General,39,39,35,0,hos_d33ca5af
23/9/2024,Surgery,General,39,39,35,0,hos_d33ca5af
4/10/2024,Surgery,General,39,39,35,0,hos_d33ca5af
10/10/2024,Surgery,General,39,39,35,0,hos_d33ca5af
14/10/2024,Surgery,General,39,39,35,0,hos_d33ca5af
18/10/2024,Surgery,General,39,39,35,0,hos_d33ca5af
21/10/2024,Surgery,General,39,39,35,0,hos_d33ca5af
7/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
11/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
12/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
13/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
18/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
20/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
27/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
29/11/2024,Surgery,General,39,39,35,0,hos_d33ca5af
4/12/2024,Surgery,General,39,39,35,0,hos_d33ca5af
6/12/2024,Surgery,General,39,39,35,0,hos_d33ca5af
10/12/2024,Surgery,General,39,39,35,0,hos_d33ca5af
11/12/2024,Surgery,General,39,39,35,0,hos_d33ca5af
10/1/2025,Surgery,General,39,39,35,0,hos_d33ca5af
16/1/2025,Surgery,General,39,39,35,0,hos_d33ca5af
3/2/2025,Surgery,General,39,39,35,0,hos_d33ca5af
4/2/2025,Surgery,General,39,39,35,0,hos_d33ca5af
12/2/2025,Surgery,General,39,39,35,0,hos_d33ca5af
13/2/2025,Surgery,General,39,39,35,0,hos_d33ca5af
25/2/2025,Surgery,General,39,39,35,0,hos_d33ca5af
26/2/2025,Surgery,General,39,39,35,0,hos_d33ca5af
3/3/2025,Surgery,General,39,39,35,0,hos_d33ca5af
27/3/2025,Surgery,General,39,39,35,0,hos_d33ca5af
28/3/2025,Surgery,General,39,39,35,0,hos_d33ca5af
1/4/2025,Surgery,General,39,39,35,0,hos_d33ca5af
7/4/2025,Surgery,General,39,39,35,0,hos_d33ca5af
11/4/2025,Surgery,General,39,39,35,0,hos_d33ca5af
24/4/2025,Surgery,General,39,39,35,0,hos_d33ca5af
29/4/2025,Surgery,General,39,39,35,0,hos_d33ca5af
6/5/2025,Surgery,General,39,39,35,0,hos_d33ca5af
15/5/2025,Surgery,General,39,39,35,0,hos_d33ca5af
20/5/2025,Surgery,General,39,39,35,0,hos_d33ca5af
29/5/2025,Surgery,General,39,39,35,0,hos_d33ca5af
9/6/2025,Surgery,General,39,39,35,0,hos_d33ca5af
10/6/2025,Surgery,General,39,39,35,0,hos_d33ca5af
27/6/2025,Surgery,General,39,39,35,0,hos_d33ca5af
30/6/2025,Surgery,General,39,39,35,0,hos_d33ca5af
18/7/2025,Surgery,General,39,39,35,0,hos_d33ca5af
31/7/2025,Surgery,General,39,39,35,0,hos_d33ca5af
14/8/2025,Surgery,General,39,39,35,0,hos_d33ca5af
15/8/2025,Surgery,General,39,39,35,0,hos_d33ca5af
21/8/2025,Surgery,General,39,39,35,0,hos_d33ca5af
22/8/2025,Surgery,General,39,39,35,0,hos_d33ca5af
26/8/2025,Surgery,General,39,39,35,0,hos_d33ca5af
29/8/2025,Surgery,General,39,39,35,0,hos_d33ca5af
8/10/2025,Surgery,General,39,39,35,0,hos_d33ca5af
9/10/2025,Surgery,General,39,39,35,0,hos_d33ca5af
17/10/2025,Surgery,General,39,39,35,0,hos_d33ca5af
20/10/2025,Surgery,General,39,39,35,0,hos_d33ca5af
4/11/2025,Surgery,General,39,39,35,0,hos_d33ca5af
7/11/2025,Surgery,General,39,39,35,0,hos_d33ca5af
10/11/2025,Surgery,General,39,39,35,0,hos_d33ca5af
27/11/2025,Surgery,General,39,39,35,0,hos_d33ca5af
2/12/2025,Surgery,General,39,39,35,0,hos_d33ca5af
5/12/2025,Surgery,General,39,39,35,0,hos_d33ca5af
8/12/2025,Surgery,General,39,39,35,0,hos_d33ca5af
