EscalationID,TicketID,EscalatedFrom,EscalatedTo,EscalationReason,EscalatedAt,AutomatedFlag
1,39,108,105,SLA Risk,2023-10-10 19:58,0
2,107,105,111,SLA Risk,2023-04-25 23:41,0
3,129,38,31,SLA Risk,2024-12-17 02:05,0
4,275,68,69,SLA Risk,2025-03-16 22:24,1
5,321,82,86,SLA Risk,2023-10-09 10:12,1
6,380,26,34,SLA Risk,2025-03-11 10:46,1
7,389,7,2,SLA Risk,2023-07-12 05:18,0
8,486,108,102,SLA Risk,2023-02-17 05:56,0
9,546,106,111,Complexity,2023-07-08 16:19,0
10,579,60,69,SLA Risk,2024-05-04 05:24,1
11,600,72,88,SLA Risk,2024-06-13 05:00,0
12,627,100,102,Complexity,2025-03-10 03:21,0
13,665,28,36,SLA Risk,2025-03-21 11:07,1
14,671,90,88,SLA Risk,2025-03-19 10:17,0
15,684,100,117,SLA Risk,2023-08-04 07:36,0
16,781,87,86,Regulatory,2024-02-11 20:25,0
17,867,6,40,Complexity,2024-07-13 20:12,0
18,896,73,88,SLA Risk,2025-03-15 16:06,1
19,979,58,59,SLA Risk,2025-03-16 11:22,1
20,1011,45,59,SLA Risk,2023-08-12 01:02,0
21,1045,40,32,Regulatory,2023-01-29 09:43,0
22,1059,95,76,SLA Risk,2024-06-13 12:25,1
23,1061,35,41,SLA Risk,2023-01-09 03:57,1
24,1065,119,102,Complexity,2025-03-07 05:01,0
25,1077,72,88,SLA Risk,2024-11-16 14:07,0
26,1103,113,119,SLA Risk,2025-03-12 10:40,1
27,1154,74,92,SLA Risk,2025-02-28 20:20,1
28,1205,1,34,SLA Risk,2024-09-30 09:07,0
29,1212,9,36,SLA Risk,2023-03-25 08:50,0
30,1269,31,32,Complexity,2024-08-10 10:16,0
31,1301,108,102,SLA Risk,2024-05-22 22:03,1
32,1358,70,61,SLA Risk,2023-05-21 08:16,0
33,1371,5,40,SLA Risk,2023-04-21 07:54,1
34,1377,103,119,SLA Risk,2024-05-08 11:58,0
35,1411,40,34,Complexity,2024-08-07 23:10,0
36,1414,95,76,Regulatory,2024-09-27 10:40,0
37,1455,26,41,SLA Risk,2024-04-03 18:34,1
38,1471,58,69,Complexity,2025-03-23 18:46,0
39,1607,105,102,SLA Risk,2023-12-26 16:49,1
40,1691,78,76,SLA Risk,2024-05-09 10:23,0
41,1769,5,40,SLA Risk,2024-01-16 11:31,0
42,1794,38,32,SLA Risk,2024-09-12 18:48,0
43,1804,114,111,SLA Risk,2023-06-26 19:28,1
44,1957,15,31,Client Request,2024-08-21 20:57,0
45,1974,32,31,SLA Risk,2025-03-16 23:11,1
46,2040,19,34,SLA Risk,2023-04-24 06:22,1
47,2071,32,35,SLA Risk,2025-02-08 11:29,0
48,2157,84,78,SLA Risk,2025-03-11 20:26,1
49,2158,40,3,SLA Risk,2025-03-20 15:24,0
50,2168,24,2,SLA Risk,2023-03-26 07:51,1
51,2174,15,36,SLA Risk,2024-04-30 00:13,1
52,2214,16,32,SLA Risk,2025-03-17 17:33,0
53,2223,52,66,Complaint,2024-08-14 19:05,0
54,2229,102,119,Client Request,2023-05-12 00:56,0
55,2250,58,59,SLA Risk,2024-06-11 11:31,1
56,2263,10,40,SLA Risk,2023-10-30 23:25,1
57,2358,7,41,Complexity,2025-03-08 10:42,0
58,2392,82,72,SLA Risk,2023-09-28 09:36,1
59,2421,92,78,SLA Risk,2025-01-24 10:34,0
60,2441,35,9,SLA Risk,2023-03-30 10:45,1
61,2480,84,86,SLA Risk,2023-07-22 21:40,0
62,2543,40,1,SLA Risk,2023-01-19 09:17,0
63,2614,26,3,SLA Risk,2023-10-11 23:30,1
64,2656,73,92,SLA Risk,2023-11-10 15:03,1
65,2710,114,105,Complaint,2025-03-11 00:55,0
66,2730,63,60,Complaint,2023-05-16 18:45,0
67,2787,100,102,SLA Risk,2023-11-16 23:55,1
68,2803,11,31,SLA Risk,2025-01-11 15:41,1
69,2808,22,41,SLA Risk,2024-10-08 11:00,1
70,2809,104,102,SLA Risk,2025-03-22 15:39,0
71,2832,115,111,Complexity,2023-04-22 20:37,0
72,2898,73,92,SLA Risk,2025-03-24 13:45,1
73,2941,1,31,SLA Risk,2025-03-14 22:57,1
74,2951,76,78,SLA Risk,2024-08-17 06:41,1
75,3117,34,2,SLA Risk,2024-03-20 10:48,1
76,3132,64,59,SLA Risk,2023-12-09 06:36,1
77,3153,85,86,SLA Risk,2025-03-18 14:55,1
78,3170,114,102,SLA Risk,2024-05-27 19:36,1
79,3172,1,31,SLA Risk,2023-06-18 07:26,1
80,3194,88,92,SLA Risk,2024-03-04 03:51,1
81,3203,26,40,SLA Risk,2024-08-07 00:17,1
82,3267,45,66,SLA Risk,2023-07-02 23:40,1
83,3289,109,111,SLA Risk,2025-02-07 02:18,0
84,3298,8,31,SLA Risk,2024-08-26 07:59,1
85,3301,15,9,SLA Risk,2023-01-18 22:09,1
86,3305,46,45,SLA Risk,2024-11-07 08:19,0
87,3328,22,1,Client Request,2024-02-21 16:36,0
88,3350,52,60,SLA Risk,2023-02-11 07:39,1
89,3370,112,119,Complexity,2024-06-11 21:50,0
90,3381,40,35,SLA Risk,2023-05-06 12:04,1
91,3416,15,32,Client Request,2024-01-04 03:37,0
92,3446,15,35,SLA Risk,2025-03-03 03:32,0
93,218,93,88,SLA Risk,2023-10-18 09:51,0
94,3223,14,2,SLA Risk,2023-11-09 13:02,1
95,549,35,40,SLA Risk,2023-07-07 03:02,0
96,3498,105,102,SLA Risk,2023-09-09 01:46,1
97,2670,88,92,SLA Risk,2023-01-07 20:29,0
98,2116,13,9,SLA Risk,2023-04-05 01:24,1
99,1837,80,72,SLA Risk,2023-05-20 09:43,1
100,2562,70,69,SLA Risk,2024-08-07 07:09,1
101,3193,112,117,SLA Risk,2023-02-22 06:35,0
102,1597,65,59,SLA Risk,2023-04-30 03:56,1
103,670,97,72,SLA Risk,2025-02-03 10:34,1
104,319,109,119,SLA Risk,2024-08-08 20:30,0
105,1989,23,9,SLA Risk,2024-09-14 11:21,1
106,239,47,59,SLA Risk,2024-01-24 11:55,1
107,1029,102,105,SLA Risk,2023-11-17 01:08,1
108,580,24,41,SLA Risk,2024-08-02 20:21,0
109,3143,16,3,SLA Risk,2024-09-18 12:12,0
110,2691,5,3,SLA Risk,2025-01-27 00:34,0
111,461,60,61,SLA Risk,2024-09-22 06:00,1
112,453,3,32,SLA Risk,2023-08-26 03:29,1
113,668,40,34,SLA Risk,2023-09-20 01:12,1
114,2503,57,59,SLA Risk,2024-01-02 08:23,1
115,31,3,9,SLA Risk,2023-01-20 15:41,0
116,2879,108,117,SLA Risk,2024-06-17 22:29,0
117,3480,17,40,SLA Risk,2024-05-14 10:55,0
118,2994,17,31,SLA Risk,2024-12-21 12:37,1
119,799,1,31,SLA Risk,2023-09-20 23:47,1
120,855,35,3,SLA Risk,2023-12-30 05:03,1
121,1249,98,78,SLA Risk,2024-02-13 23:11,0
122,2781,76,88,SLA Risk,2023-10-31 22:47,0
123,1822,24,36,SLA Risk,2024-01-01 12:05,1
124,1823,11,31,SLA Risk,2023-10-13 06:55,1
125,3462,92,76,SLA Risk,2025-02-08 17:21,1
126,2698,92,86,SLA Risk,2023-06-02 06:42,0
127,2203,79,76,SLA Risk,2023-12-04 10:30,1
128,2742,100,102,SLA Risk,2024-05-27 11:18,0
129,1415,12,32,SLA Risk,2023-06-09 05:24,1
130,2542,79,78,SLA Risk,2024-01-19 20:45,0
131,2070,13,34,Client Request,2024-03-09 04:27,0
132,2628,12,3,SLA Risk,2023-12-21 19:34,1
133,1699,59,69,SLA Risk,2024-05-01 14:13,0
134,219,117,119,SLA Risk,2025-02-23 08:36,0
135,2107,102,105,SLA Risk,2025-03-06 15:07,0
136,1080,76,86,SLA Risk,2024-06-20 10:17,0
137,1519,35,40,SLA Risk,2025-02-05 00:44,1
138,1357,26,41,SLA Risk,2023-10-12 23:17,0
139,2560,72,78,SLA Risk,2025-01-04 00:56,1
140,50,54,60,SLA Risk,2023-05-27 14:24,1
141,3140,13,31,SLA Risk,2024-06-30 23:22,1
142,1466,91,92,SLA Risk,2024-01-23 07:23,1
143,1569,17,40,SLA Risk,2024-07-08 10:36,1
144,1610,85,72,Complaint,2024-10-31 01:23,0
145,982,5,32,SLA Risk,2024-09-21 08:01,0
146,2692,86,92,SLA Risk,2023-05-31 22:52,0
147,1425,57,61,SLA Risk,2024-07-30 23:35,0
148,326,45,66,SLA Risk,2023-10-12 17:42,1
149,2620,53,59,Client Request,2023-08-29 22:14,0
150,2166,102,119,SLA Risk,2023-09-04 21:46,0
151,2286,32,40,SLA Risk,2023-10-09 12:34,0
152,1521,66,60,SLA Risk,2023-06-04 11:49,1
153,1609,78,88,SLA Risk,2024-06-08 23:01,0
154,3273,66,45,SLA Risk,2024-08-13 04:57,1
155,3417,52,69,SLA Risk,2023-09-23 06:02,1
156,308,15,9,SLA Risk,2023-11-10 09:24,1
157,2065,76,92,SLA Risk,2024-08-09 13:04,0
158,690,32,41,SLA Risk,2023-02-13 08:44,0
159,3054,73,78,SLA Risk,2023-03-25 19:10,1
160,920,29,40,SLA Risk,2024-05-09 17:54,1
161,293,49,61,SLA Risk,2023-06-01 02:13,1
162,2776,97,72,SLA Risk,2024-03-07 05:50,1
163,1693,63,61,SLA Risk,2023-01-31 06:10,1
164,377,109,105,SLA Risk,2024-05-17 00:23,0
165,780,111,105,SLA Risk,2023-04-17 09:27,0
166,805,117,111,SLA Risk,2024-02-13 21:37,1
167,831,15,32,SLA Risk,2023-04-29 19:03,0
168,237,3,2,SLA Risk,2023-02-07 13:54,1
169,1255,11,35,Regulatory,2024-11-08 09:17,0
170,2893,70,45,SLA Risk,2023-09-01 03:31,1
171,3424,112,102,SLA Risk,2023-04-16 20:13,0
172,2338,1,35,SLA Risk,2024-01-06 10:45,1
173,2466,63,66,SLA Risk,2025-01-27 20:18,1
174,1123,3,32,SLA Risk,2023-01-10 07:44,1
175,2875,8,9,SLA Risk,2023-03-25 14:23,0
176,1627,72,76,SLA Risk,2023-06-23 00:41,0
177,770,76,92,SLA Risk,2024-02-28 14:32,0
178,362,13,36,SLA Risk,2024-05-12 01:42,0
179,2768,25,1,SLA Risk,2024-10-02 16:28,1
180,1685,16,40,SLA Risk,2024-06-24 00:15,1
181,2077,13,31,SLA Risk,2024-12-07 11:05,0
182,544,60,61,SLA Risk,2023-12-20 09:50,1
183,3161,107,117,SLA Risk,2024-04-15 01:44,1
184,3166,85,88,SLA Risk,2023-01-08 20:48,0
185,1295,98,88,SLA Risk,2023-08-09 23:41,0
186,645,78,86,SLA Risk,2023-06-23 10:33,1
187,2736,29,2,SLA Risk,2024-01-17 01:26,0
188,768,13,2,SLA Risk,2023-09-04 21:48,0
189,1613,70,60,SLA Risk,2023-10-31 08:22,0
190,1994,105,111,SLA Risk,2024-07-17 04:45,1
191,548,10,40,SLA Risk,2024-01-24 03:11,1
192,1567,104,119,SLA Risk,2025-02-02 21:28,1
193,221,22,9,SLA Risk,2023-07-08 02:26,0
194,3336,25,3,SLA Risk,2024-04-14 15:45,0
195,2015,100,117,SLA Risk,2024-09-23 07:26,1
196,1251,94,92,SLA Risk,2023-10-31 03:03,0
197,1594,118,119,SLA Risk,2023-12-16 08:54,1
198,257,14,41,SLA Risk,2023-12-24 09:28,0
199,905,84,72,SLA Risk,2023-04-14 04:04,0
200,989,40,36,SLA Risk,2023-06-13 07:05,1
201,2124,71,92,SLA Risk,2024-08-23 10:12,0
202,2099,111,102,SLA Risk,2023-07-09 04:07,1
203,2700,26,35,SLA Risk,2023-01-11 20:25,0
204,1177,37,41,SLA Risk,2023-07-16 19:29,0
205,633,72,86,SLA Risk,2024-01-05 22:41,1
206,2307,25,35,SLA Risk,2023-05-11 02:41,1
207,2483,35,34,Client Request,2023-09-13 13:21,0
208,2870,85,92,SLA Risk,2024-02-06 09:19,1
209,1885,8,41,SLA Risk,2024-07-10 23:30,0
210,204,30,1,SLA Risk,2024-06-06 04:09,1
211,3064,77,92,SLA Risk,2023-02-19 00:28,0
212,1033,18,40,SLA Risk,2023-02-26 15:41,1
213,3262,71,78,SLA Risk,2024-08-27 17:37,0
214,1427,28,1,SLA Risk,2024-11-24 14:19,1
215,3002,25,35,SLA Risk,2024-05-14 00:25,1
216,1264,13,34,SLA Risk,2023-06-05 10:46,1
217,3174,117,105,SLA Risk,2024-06-15 13:07,0
218,2416,34,31,SLA Risk,2024-03-25 19:36,1
219,3449,23,41,SLA Risk,2023-02-15 16:19,1
220,1400,22,32,SLA Risk,2023-10-20 10:54,1
221,769,49,61,SLA Risk,2025-02-11 07:54,1
222,1215,30,41,SLA Risk,2023-05-03 17:01,0
223,2494,57,69,SLA Risk,2024-01-13 04:43,0
224,863,112,105,SLA Risk,2023-03-16 23:34,1
225,3190,116,102,SLA Risk,2025-02-05 21:58,0
226,3282,65,60,SLA Risk,2024-12-30 13:31,1
227,628,45,66,SLA Risk,2023-02-28 19:22,1
228,3275,40,31,SLA Risk,2024-04-13 22:04,1
229,142,63,61,SLA Risk,2023-07-17 14:05,1
230,1844,78,72,SLA Risk,2024-09-01 17:57,1
231,953,1,9,SLA Risk,2024-04-07 05:07,1
232,2772,78,88,SLA Risk,2024-11-19 17:01,1
233,1370,34,2,SLA Risk,2023-11-13 08:26,1
234,1928,101,119,Client Request,2024-04-24 00:59,0
235,3379,108,119,SLA Risk,2023-04-07 21:32,1
236,536,73,92,SLA Risk,2024-11-06 06:38,1
237,3494,72,92,SLA Risk,2023-05-25 23:01,0
238,1947,16,40,SLA Risk,2024-07-21 22:58,0
239,2496,101,105,SLA Risk,2024-12-06 12:20,0
240,259,41,35,SLA Risk,2023-11-05 12:59,1
241,2502,27,9,SLA Risk,2024-10-10 15:16,0
242,426,31,32,SLA Risk,2024-09-13 07:47,1
243,3261,102,105,SLA Risk,2024-09-03 20:00,0
244,2950,109,102,Client Request,2023-04-13 04:08,0
245,2914,43,59,SLA Risk,2024-03-15 05:09,1
246,900,107,119,SLA Risk,2024-11-15 03:32,1
247,390,55,61,SLA Risk,2025-01-08 11:59,0
248,3409,113,105,SLA Risk,2023-09-27 04:53,0
249,2127,119,105,SLA Risk,2024-03-02 06:10,1
250,256,89,76,SLA Risk,2023-08-29 22:46,0
251,1636,40,31,SLA Risk,2024-03-21 04:03,1
252,1453,2,9,SLA Risk,2024-03-07 19:51,0
253,570,73,92,SLA Risk,2024-03-20 19:36,1
254,2929,24,3,SLA Risk,2024-06-06 02:06,0
255,3116,60,66,SLA Risk,2023-11-15 10:02,1
256,1795,87,86,SLA Risk,2024-10-29 16:30,0
257,327,20,41,Client Request,2024-12-13 12:46,0
258,384,15,36,SLA Risk,2024-12-09 09:00,0
259,1423,84,76,SLA Risk,2023-10-18 22:27,1
260,2998,26,40,SLA Risk,2024-04-10 23:54,1
261,798,93,76,SLA Risk,2023-12-20 04:27,0
262,1582,79,86,SLA Risk,2023-05-04 00:16,0
263,2774,104,102,SLA Risk,2024-01-26 13:38,0
264,1892,73,92,SLA Risk,2023-10-01 08:32,0
265,1559,16,2,SLA Risk,2025-03-03 03:48,0
266,3122,10,2,SLA Risk,2024-01-19 12:31,0
267,3022,63,45,SLA Risk,2023-09-27 22:01,0
268,1750,68,45,SLA Risk,2023-01-29 17:52,1
269,990,34,41,Complaint,2023-08-18 19:45,0
270,2851,40,31,Client Request,2025-01-09 11:27,0
271,689,2,35,SLA Risk,2025-03-02 18:49,1
272,2007,65,61,SLA Risk,2023-12-25 20:03,1
273,1235,93,78,SLA Risk,2024-11-25 09:31,1
274,297,26,32,SLA Risk,2023-04-09 14:07,1
275,3020,32,3,SLA Risk,2025-01-24 00:49,0
276,880,5,1,SLA Risk,2023-04-16 15:56,0
277,1592,86,88,SLA Risk,2024-04-01 01:00,0
278,2990,83,76,SLA Risk,2024-11-08 14:14,1
279,2659,87,88,SLA Risk,2024-04-26 13:40,1
280,758,119,117,SLA Risk,2025-01-24 00:35,0
281,2137,35,34,Complexity,2024-10-09 02:49,0
282,662,2,1,SLA Risk,2024-06-02 11:19,0
283,2615,110,117,SLA Risk,2023-05-25 04:23,0
284,3195,38,31,SLA Risk,2023-10-18 16:10,0
285,847,87,88,SLA Risk,2023-04-22 05:53,0
286,626,86,76,SLA Risk,2024-03-29 12:00,1
287,2617,45,61,SLA Risk,2023-09-30 22:34,0
288,3402,79,86,SLA Risk,2023-10-10 06:26,1
289,233,99,111,SLA Risk,2024-08-05 17:28,1
290,355,31,40,SLA Risk,2023-12-27 21:16,0
291,2096,62,69,SLA Risk,2023-11-16 15:59,1
292,3311,92,76,SLA Risk,2024-05-13 18:07,0
293,3287,117,102,SLA Risk,2024-11-26 09:53,0
294,521,49,61,SLA Risk,2023-12-23 01:56,0
295,1724,99,111,SLA Risk,2023-12-04 11:27,0
296,2019,33,34,SLA Risk,2023-03-03 17:12,1
297,2455,32,31,SLA Risk,2023-10-30 14:58,1
298,2970,12,34,SLA Risk,2023-12-05 23:19,1
299,2234,82,92,Complexity,2023-09-10 06:24,0
300,2675,86,72,SLA Risk,2024-11-05 08:45,0
301,3451,119,117,SLA Risk,2023-03-28 15:56,1
302,2765,98,92,SLA Risk,2023-11-04 06:28,1
303,2961,87,76,SLA Risk,2023-08-26 18:11,1
304,1434,106,111,SLA Risk,2024-01-16 02:25,1
305,1082,79,78,SLA Risk,2024-03-21 04:24,1
306,2016,116,117,SLA Risk,2024-09-10 03:53,0
307,1871,45,66,SLA Risk,2023-10-13 05:38,1
308,713,9,1,SLA Risk,2023-01-28 10:32,1
309,81,20,2,SLA Risk,2024-11-25 08:01,0
310,2132,40,3,Regulatory,2023-06-23 22:14,0
311,386,102,105,SLA Risk,2024-04-13 10:31,1
312,462,104,102,SLA Risk,2023-08-04 20:09,1
313,1587,33,3,SLA Risk,2023-08-06 17:28,1
314,2619,93,72,SLA Risk,2023-05-06 09:06,1
315,2513,20,2,SLA Risk,2023-08-11 11:17,1
316,1335,72,88,SLA Risk,2023-10-10 23:51,0
317,687,117,111,SLA Risk,2024-01-01 15:38,0
318,208,32,2,SLA Risk,2024-11-20 11:03,1
319,3032,13,1,Complaint,2023-05-03 04:17,0
320,2054,45,59,SLA Risk,2024-05-09 05:20,0
321,2771,14,36,SLA Risk,2023-10-14 04:10,1
322,2397,5,36,SLA Risk,2023-05-08 04:20,0
323,2711,86,78,SLA Risk,2023-01-20 15:39,0
324,17,104,117,SLA Risk,2023-04-03 17:42,1
325,3396,115,117,SLA Risk,2024-09-16 04:47,1
326,852,118,119,SLA Risk,2024-07-01 16:38,0
327,2880,23,2,SLA Risk,2024-09-04 14:19,1
328,1190,13,32,SLA Risk,2025-01-01 10:37,0
329,477,21,2,SLA Risk,2025-01-08 15:38,1
330,1426,32,35,SLA Risk,2024-08-22 06:51,0
331,2732,14,9,SLA Risk,2024-12-11 04:10,1
332,857,12,32,SLA Risk,2023-11-13 02:22,0
333,3371,76,92,SLA Risk,2025-02-04 14:30,1
334,656,22,31,SLA Risk,2024-05-25 11:50,1
335,1774,14,32,SLA Risk,2023-05-18 05:09,0
336,1688,88,78,SLA Risk,2024-06-23 12:01,1
337,3392,58,61,SLA Risk,2024-05-19 11:18,0
338,2592,78,86,Complaint,2023-09-12 22:51,0
339,1872,35,1,SLA Risk,2023-02-18 13:18,0
340,966,30,32,SLA Risk,2024-11-21 04:06,0
341,1515,15,36,SLA Risk,2024-03-01 13:00,1
342,1053,55,69,SLA Risk,2024-09-09 05:55,1
343,370,25,32,SLA Risk,2023-09-09 11:42,0
344,342,112,117,SLA Risk,2023-11-19 07:38,1
345,2378,83,86,SLA Risk,2023-01-12 13:26,1
346,1714,102,105,SLA Risk,2023-05-22 13:06,1
347,349,19,9,SLA Risk,2025-01-06 19:46,1
348,2789,31,35,SLA Risk,2024-08-05 17:15,0
349,1741,100,117,SLA Risk,2023-01-07 04:42,1
350,2681,115,111,SLA Risk,2024-09-28 01:04,1
351,254,41,34,SLA Risk,2024-02-14 06:32,0
352,1969,95,76,SLA Risk,2023-12-25 16:07,1
353,3295,74,72,SLA Risk,2025-01-07 16:32,1
354,119,15,3,SLA Risk,2024-10-16 11:14,0
355,1980,57,69,SLA Risk,2023-06-14 16:22,0
356,3141,17,31,SLA Risk,2023-10-11 15:50,0
357,341,11,3,SLA Risk,2024-05-22 04:43,0
358,1723,78,92,SLA Risk,2023-10-07 16:06,1
359,1209,9,1,SLA Risk,2024-04-13 15:36,0
360,3246,80,72,SLA Risk,2023-02-11 07:01,0
361,167,87,88,SLA Risk,2024-10-27 11:30,0
362,1534,22,34,SLA Risk,2024-04-11 20:37,1
363,1503,6,40,Complexity,2023-05-21 22:30,0
364,2995,103,117,SLA Risk,2023-11-14 12:06,1
365,1066,4,40,SLA Risk,2024-06-10 01:18,0
366,1028,55,45,Complexity,2023-11-05 13:58,0
367,1570,21,32,SLA Risk,2024-06-22 17:04,1
368,2336,33,34,SLA Risk,2023-12-30 13:01,0
369,976,35,2,SLA Risk,2024-12-15 15:50,1
370,3137,41,32,SLA Risk,2024-02-08 13:06,1
371,2565,46,45,SLA Risk,2023-06-08 18:14,1
372,1312,58,66,SLA Risk,2024-10-01 20:13,1
373,616,33,35,SLA Risk,2023-09-17 13:55,1
374,3321,55,66,Complaint,2023-10-06 05:39,0
375,3013,96,72,SLA Risk,2024-06-16 04:21,0
376,3159,1,40,SLA Risk,2023-03-21 00:26,1
377,1759,71,92,SLA Risk,2023-02-01 19:56,0
378,2782,20,41,SLA Risk,2024-01-06 03:08,1
379,3468,117,111,SLA Risk,2023-01-04 17:44,1
380,3473,71,88,SLA Risk,2023-08-28 10:08,1
381,2738,102,111,SLA Risk,2023-08-12 08:56,1
382,2545,78,88,SLA Risk,2023-05-15 11:51,1
383,1182,87,78,SLA Risk,2023-03-27 02:34,1
384,2236,35,1,SLA Risk,2023-08-27 04:07,0
385,2327,105,117,SLA Risk,2024-10-28 20:34,1
386,882,85,76,Client Request,2024-05-03 13:56,0
387,2359,52,69,SLA Risk,2024-10-14 07:33,0
388,2629,13,41,SLA Risk,2024-05-30 17:33,0
389,1131,96,72,SLA Risk,2024-05-21 22:04,0
390,2823,74,88,SLA Risk,2024-01-31 20:11,1
391,3309,30,1,SLA Risk,2023-09-12 04:36,0
392,1239,32,9,SLA Risk,2025-02-11 03:50,0
393,585,43,61,SLA Risk,2024-02-28 10:50,0
394,1755,6,3,Complaint,2023-05-12 18:18,0
395,2830,58,45,SLA Risk,2023-08-15 00:22,1
396,3182,117,102,SLA Risk,2024-01-01 07:59,1
397,746,8,41,SLA Risk,2025-02-18 18:42,0
398,2325,34,2,SLA Risk,2023-05-20 00:57,0
399,1092,93,86,SLA Risk,2023-07-05 22:31,1
400,398,21,35,SLA Risk,2024-02-12 07:12,0
401,89,46,69,SLA Risk,2023-03-01 05:39,1
402,2013,2,32,SLA Risk,2024-10-11 20:48,0
403,2221,8,2,Regulatory,2023-01-06 16:55,0
404,1715,101,102,SLA Risk,2024-12-18 10:06,1
405,1137,108,119,SLA Risk,2023-08-28 03:47,1
406,2506,78,88,SLA Risk,2023-03-14 23:01,0
407,2903,116,111,SLA Risk,2024-03-18 08:10,0
408,818,115,105,SLA Risk,2023-04-28 15:46,0
409,650,54,60,SLA Risk,2023-05-15 17:33,1
410,2415,8,32,SLA Risk,2023-10-02 09:27,1
411,2117,105,119,SLA Risk,2023-05-25 08:18,0
412,3413,21,31,Complexity,2023-05-26 19:30,0
413,3423,73,92,SLA Risk,2023-09-18 11:29,1
414,80,14,40,SLA Risk,2024-09-19 12:07,1
415,3265,91,78,SLA Risk,2024-02-12 09:29,1
416,3377,114,117,SLA Risk,2024-06-11 19:31,0
417,760,12,3,SLA Risk,2024-09-10 06:33,1
418,2654,5,31,SLA Risk,2024-06-30 06:22,1
419,2197,38,36,SLA Risk,2024-02-29 09:54,1
420,4,22,36,SLA Risk,2024-12-03 22:55,0
